item_key,plant_code,material_id,regime,distribution_type,mean_daily_demand,cv_wd,mean_lead_time,cv_lead_time,delivery_observations,lead_time_stability,supplier_reliability,current_safety_stock_units,current_sap_slt_days,recommended_slt_days,slt_comparison_action,hard_escalation_flag,hard_reason_codes,selected_model,model_confidence,boundary_risk,escalation_flag,solver_used,policy_note,recommended_safety_stock,recommended_reorder_point,recommended_order_quantity,inventor_fill_rate_pct,sap_fill_rate_pct,universal_rq_fill_rate_pct,fill_gain_vs_sap_pct_pts,fill_gain_vs_universal_rq_pct_pts,inventor_total_cost,sap_total_cost,universal_rq_total_cost,cost_delta_vs_universal_rq,stockout_days_reduction_vs_sap,shortage_reduction_vs_sap,route_used,isolate_for_optimization,opportunity_score,optimization_reasons
PLANT_A__MATERIAL_0018,PLANT_A,MATERIAL_0018,Smooth,Normal,629.6406,0.2048,1.4836,0.6382,109,Unstable,0.5,0.0,3.0,3.0,MAINTAIN,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=663.6, SS_normal=1092 SS_spike=0 → SS=1092, ROP=2656, OQ=5431",2888,5801,6026,100.0,100.0,100.0,0.0,0.0,1320.7106,995.1895,1320.7106,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0023,PLANT_A,MATERIAL_0023,Smooth,Normal,425.2099,0.2175,1.2201,0.7529,137,Unstable,0.48,576.0,3.0,3.0,MAINTAIN,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=389.1, SS_normal=640 SS_spike=0 → SS=640, ROP=1584, OQ=2433",2274,4146,2703,100.0,100.0,100.0,0.0,0.0,2377.6099,1730.3525,2377.6099,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0026,PLANT_A,MATERIAL_0026,Smooth,Normal,942.1714,0.1594,1.2456,0.7524,190,Unstable,0.5,1152.0,3.0,3.0,MAINTAIN,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=848.1, SS_normal=1395 SS_spike=0 → SS=1395, ROP=3511, OQ=15447",3243,7319,17026,100.0,100.0,100.0,0.0,0.0,470.1458,426.5439,470.1458,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0030,PLANT_A,MATERIAL_0030,Lumpy,Negative Binomial,84.7907,0.9354,2.3107,0.4893,41,Moderate,0.46,0.0,4.0,4.5,INCREASE,NO,,NB branch,HIGH,HIGH,YES,negbin,"collapsed_from_negbin->(r,Q) [nb_branch_ablation]: ",774,1331,192,100.0,100.0,100.0,0.0,0.0,30956.4326,13295.0202,30956.4326,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0046,PLANT_A,MATERIAL_0046,Smooth,Normal,194.7107,0.3097,1.0314,0.4885,22,Moderate,0.41,0.0,3.0,2.5,DECREASE,NO,,Base-stock,HIGH,MEDIUM,NO,"(s,S)","(s,S) v3: s=681, S=3332; SS=285, OQ=2651",456,1261,2981,100.0,100.0,100.0,0.0,0.0,478.826,460.3318,524.7875,-45.9615,0.0,0.0,"(s,S)",YES,0.0,order_up_to_case
PLANT_A__MATERIAL_0052,PLANT_A,MATERIAL_0052,Smooth,Normal,422.2719,0.2219,1.3156,0.6665,68,Unstable,0.49,0.0,3.0,3.0,MAINTAIN,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=397.1, SS_normal=653 SS_spike=0 → SS=653, ROP=1631, OQ=3035",990,2830,3328,100.0,100.0,100.0,0.0,0.0,1371.7492,1131.9496,1371.7492,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0066,PLANT_A,MATERIAL_0066,Smooth,Normal,424.4553,0.2165,1.5299,0.6311,70,Unstable,0.45,500.0,4.0,3.5,DECREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=448.0, SS_normal=737 SS_spike=0 → SS=737, ROP=1811, OQ=4632",2557,4998,5156,100.0,100.0,100.0,0.0,0.0,926.2588,711.2889,926.2588,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0071,PLANT_A,MATERIAL_0071,Smooth,Normal,448.6323,0.2426,1.5899,0.5281,139,Unstable,0.6,300.0,3.5,2.5,DECREASE,NO,,"(r,Q)",MEDIUM,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=452.5, SS_normal=744 SS_spike=0 → SS=744, ROP=1906, OQ=3681",1101,3411,4043,100.0,100.0,100.0,0.0,0.0,1204.7647,1064.7065,1204.7647,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0075,PLANT_A,MATERIAL_0075,Smooth,Normal,979.0752,0.5297,1.548,0.6519,15,Unstable,0.21,2000.0,5.0,5.0,MAINTAIN,NO,,"(r,Q)",HIGH,HIGH,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=1293.9, SS_normal=2128 SS_spike=0 → SS=2128, ROP=5602, OQ=48045",5504,12100,53155,100.0,100.0,100.0,0.0,0.0,141.333,129.7154,141.333,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0081,PLANT_A,MATERIAL_0081,Smooth,Normal,1112.6563,0.5233,0.0,0.0,0,Stable,0.62,6000.0,2.0,0.0,DECREASE,NO,,"(r,Q)",MEDIUM,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=0.0, SS_normal=0 SS_spike=0 → SS=0, ROP=0, OQ=12669",3595,7032,13883,100.0,100.0,100.0,0.0,0.0,1091.8512,1224.787,1091.8512,0.0,0.0,0.0,"(r,Q)",YES,0.0,thin_delivery_data
