item_key,plant_code,material_id,regime,distribution_type,mean_daily_demand,cv_wd,mean_lead_time,cv_lead_time,delivery_observations,lead_time_stability,supplier_reliability,current_safety_stock_units,current_sap_slt_days,recommended_slt_days,slt_comparison_action,hard_escalation_flag,hard_reason_codes,selected_model,model_confidence,boundary_risk,escalation_flag,solver_used,policy_note,recommended_safety_stock,recommended_reorder_point,recommended_order_quantity,inventor_fill_rate_pct,sap_fill_rate_pct,universal_rq_fill_rate_pct,fill_gain_vs_sap_pct_pts,fill_gain_vs_universal_rq_pct_pts,inventor_total_cost,sap_total_cost,universal_rq_total_cost,cost_delta_vs_universal_rq,stockout_days_reduction_vs_sap,shortage_reduction_vs_sap,route_used,isolate_for_optimization,opportunity_score,optimization_reasons,flag_bucket,llm_review_priority,flag_reasons,llm_question
PLANT_A__MATERIAL_0008,PLANT_A,MATERIAL_0008,Dead stock,Normal,0.0,0.0,1.5967,0.794,3,Unstable,0.21,0.0,3.0,5.5,INCREASE,NO,,"(r,Q)",UNCERTAIN,HIGH,YES,,,0.0,0.0,1.0,100.0,100.0,100.0,0.0,0.0,220.1162,73.1194,220.1162,0.0,0.0,0.0,"(r,Q)",YES,3.0,thin_delivery_data,LLM_REVIEW,MEDIUM,thin_delivery_data,Which counterfactual or hidden constraint should be reviewed before optimizing this material?
PLANT_A__MATERIAL_0025,PLANT_A,MATERIAL_0025,Smooth,Normal,899.9742,0.244,1.2331,0.781,118,Unstable,0.45,1152.0,3.0,3.5,INCREASE,NO,,Base-stock,HIGH,MEDIUM,YES,"(s,S)","(s,S) v3: s=3384, S=6989; SS=1374, OQ=3605",1374.0,3384.0,3605.0,100.0,100.0,100.0,0.0,0.0,7539.1231,5639.3934,7281.2135,257.9096,0.0,0.0,"(s,S)",YES,2.9484,high_variance_order_up_to_case|cost_premium_vs_universal_rq,OPTIMIZE_NOW,HIGH,order_up_to_case|cost_premium_vs_universal_rq,What operational constraint could still block implementation despite apparent service gain?
PLANT_A__MATERIAL_0159,PLANT_A,MATERIAL_0159,Lumpy,Negative Binomial,97.165,1.9729,1.1036,0.9802,11,Unstable,0.2,0.0,3.0,4.5,INCREASE,YES,MILP_T3|UNSTABLE_LT_SEVERE_VARIANCE|UNSTABLE_LT_SLT_INCREASE,NB branch,HIGH,HIGH,YES,negbin,"NB branch: LTD_mean=107.2, LTD_var=51601.2, r_lt=0.22, p_lt=0.0021, ROP=731, SS=429, OQ=712",429.0,731.0,712.0,100.0,100.0,100.0,0.0,0.0,5332.0812,2797.5161,4673.8251,658.2561,0.0,0.0,negbin,YES,2.8683,hard_flag|cost_premium_vs_universal_rq,OPTIMIZE_NOW,HIGH,hard_flag|distributional_branch_case|cost_premium_vs_universal_rq,What operational constraint could still block implementation despite apparent service gain?
PLANT_A__MATERIAL_0107,PLANT_A,MATERIAL_0107,Smooth,Normal,49273.5074,0.2737,1.8029,0.727,246,Unstable,0.39,0.0,4.0,5.0,INCREASE,NO,,Base-stock,HIGH,HIGH,YES,"(s,S)","(s,S) v3: s=325856, S=477023; SS=138474, OQ=151167",138474.0,325856.0,151167.0,100.0,100.0,100.0,0.0,0.0,31238.7241,10184.7445,30336.2524,902.4717,0.0,0.0,"(s,S)",YES,2.8195,high_variance_order_up_to_case|cost_premium_vs_universal_rq,OPTIMIZE_NOW,HIGH,order_up_to_case|cost_premium_vs_universal_rq,What operational constraint could still block implementation despite apparent service gain?
PLANT_A__MATERIAL_0012,PLANT_A,MATERIAL_0012,Smooth,Normal,180.373,0.3495,1.4452,0.6409,61,Unstable,0.5,0.0,2.0,3.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=184.1, SS_normal=303 SS_spike=0 → SS=303, ROP=744, OQ=1416",303.0,744.0,1416.0,100.0,100.0,100.0,0.0,0.0,2713.9609,1781.6323,2713.9609,0.0,0.0,0.0,"(r,Q)",NO,2.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0019,PLANT_A,MATERIAL_0019,Smooth,Normal,305.8899,0.2892,1.4274,0.6559,118,Unstable,0.49,0.0,2.0,3.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=306.1, SS_normal=504 SS_spike=0 → SS=504, ROP=1247, OQ=3853",504.0,1247.0,3853.0,100.0,100.0,100.0,0.0,0.0,1593.5135,1239.0895,1593.5135,0.0,0.0,0.0,"(r,Q)",NO,2.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0024,PLANT_A,MATERIAL_0024,Smooth,Normal,424.4553,0.2165,1.4622,0.7842,83,Unstable,0.41,672.0,3.0,4.0,INCREASE,NO,,"(s,S)",UNCERTAIN,HIGH,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=748.1, SS_normal=1231 SS_spike=0 → SS=1231, ROP=3125, OQ=9948",1231.0,3125.0,9948.0,100.0,100.0,100.0,0.0,0.0,739.4829,573.5281,739.4829,0.0,0.0,0.0,"(r,Q)",NO,2.0,,MONITOR,MEDIUM,,Should this item stay under observation for lead time or service deterioration?
PLANT_A__MATERIAL_0041,PLANT_A,MATERIAL_0041,Smooth,Normal,261.1708,0.2502,1.1353,0.87,19,Unstable,0.42,0.0,2.5,3.5,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=296.6, SS_normal=488 SS_spike=0 → SS=488, ROP=1307, OQ=298",488.0,1307.0,298.0,100.0,100.0,100.0,0.0,0.0,93467.4556,16538.9192,93467.4556,0.0,0.0,0.0,"(r,Q)",NO,2.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
PLANT_A__MATERIAL_0056,PLANT_A,MATERIAL_0056,Smooth,Normal,1427.6624,0.5322,0.944,1.2792,5,Unstable,0.32,12400.0,5.0,4.0,DECREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=1346.0, SS_normal=2214 SS_spike=0 → SS=2214, ROP=4989, OQ=114765",2214.0,4989.0,114765.0,100.0,100.0,100.0,0.0,0.0,206.2299,226.1472,206.2299,0.0,0.0,0.0,"(r,Q)",YES,2.0,thin_delivery_data,LLM_REVIEW,MEDIUM,thin_delivery_data,Which counterfactual or hidden constraint should be reviewed before optimizing this material?
PLANT_A__MATERIAL_0061,PLANT_A,MATERIAL_0061,Smooth,Normal,617.2567,0.2073,2.2929,0.5568,179,Unstable,0.55,672.0,3.0,4.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=1335.8, SS_normal=2197 SS_spike=0 → SS=2197, ROP=5464, OQ=5230",2197.0,5464.0,5230.0,100.0,100.0,100.0,0.0,0.0,5152.0792,2737.069,5152.0792,0.0,0.0,0.0,"(r,Q)",NO,2.0,,LEAVE_BASELINE,LOW,,Is there any evidence this item needs intervention beyond routine monitoring?
